2020-07-26 18:31:50.833 === [restartedMain] === INFO  === o.s.b.d.autoconfigure.OptionalLiveReloadServer === LiveReload server is running on port 35729
2020-07-26 18:31:50.867 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat started on port(s): 80 (http) with context path ''
2020-07-26 18:31:50.878 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Started BlogApplication in 2.242 seconds (JVM running for 3.176)
2020-07-26 18:32:21.501 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Starting BlogApplication on DESKTOP-CNOGRH7 with PID 1008 (E:\Idea_WorkSpace\aimerrhythms_blog\blog\target\classes started by aimerrhythm in E:\Idea_WorkSpace\aimerrhythms_blog)
2020-07-26 18:32:21.503 === [restartedMain] === DEBUG === com.aimerrhythms.blog.BlogApplication === Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
2020-07-26 18:32:21.503 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === No active profile set, falling back to default profiles: default
2020-07-26 18:32:21.552 === [restartedMain] === INFO  === o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor === Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-07-26 18:32:21.552 === [restartedMain] === INFO  === o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor === For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-07-26 18:32:22.214 === [restartedMain] === WARN  === org.mybatis.spring.mapper.ClassPathMapperScanner === No MyBatis mapper was found in '[com.aimerrhythms.blog]' package. Please check your configuration.
2020-07-26 18:32:22.560 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat initialized with port(s): 80 (http)
2020-07-26 18:32:22.565 === [restartedMain] === INFO  === org.apache.catalina.core.StandardService === Starting service [Tomcat]
2020-07-26 18:32:22.566 === [restartedMain] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-07-26 18:32:22.644 === [restartedMain] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring embedded WebApplicationContext
2020-07-26 18:32:22.645 === [restartedMain] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext === Root WebApplicationContext: initialization completed in 1093 ms
2020-07-26 18:32:22.838 === [restartedMain] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Initializing ExecutorService 'applicationTaskExecutor'
2020-07-26 18:32:22.914 === [restartedMain] === INFO  === o.s.b.a.web.servlet.WelcomePageHandlerMapping === Adding welcome page template: index
2020-07-26 18:32:23.350 === [restartedMain] === INFO  === o.s.b.d.autoconfigure.OptionalLiveReloadServer === LiveReload server is running on port 35729
2020-07-26 18:32:23.406 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat started on port(s): 80 (http) with context path ''
2020-07-26 18:32:23.424 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Started BlogApplication in 2.437 seconds (JVM running for 3.498)
2020-07-26 18:34:07.244 === [Thread-9] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-26 18:34:07.355 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Starting BlogApplication on DESKTOP-CNOGRH7 with PID 1008 (E:\Idea_WorkSpace\aimerrhythms_blog\blog\target\classes started by aimerrhythm in E:\Idea_WorkSpace\aimerrhythms_blog)
2020-07-26 18:34:07.355 === [restartedMain] === DEBUG === com.aimerrhythms.blog.BlogApplication === Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
2020-07-26 18:34:07.356 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === No active profile set, falling back to default profiles: default
2020-07-26 18:34:07.613 === [restartedMain] === WARN  === org.mybatis.spring.mapper.ClassPathMapperScanner === No MyBatis mapper was found in '[com.aimerrhythms.blog]' package. Please check your configuration.
2020-07-26 18:34:07.695 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat initialized with port(s): 80 (http)
2020-07-26 18:34:07.696 === [restartedMain] === INFO  === org.apache.catalina.core.StandardService === Starting service [Tomcat]
2020-07-26 18:34:07.696 === [restartedMain] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-07-26 18:34:07.725 === [restartedMain] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring embedded WebApplicationContext
2020-07-26 18:34:07.725 === [restartedMain] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext === Root WebApplicationContext: initialization completed in 366 ms
2020-07-26 18:34:07.801 === [restartedMain] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Initializing ExecutorService 'applicationTaskExecutor'
2020-07-26 18:34:07.819 === [restartedMain] === INFO  === o.s.b.a.web.servlet.WelcomePageHandlerMapping === Adding welcome page template: index
2020-07-26 18:34:07.962 === [restartedMain] === INFO  === o.s.b.d.autoconfigure.OptionalLiveReloadServer === LiveReload server is running on port 35729
2020-07-26 18:34:07.980 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat started on port(s): 80 (http) with context path ''
2020-07-26 18:34:07.985 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Started BlogApplication in 0.656 seconds (JVM running for 108.058)
2020-07-26 18:34:07.990 === [restartedMain] === INFO  === o.s.b.d.a.ConditionEvaluationDeltaLoggingListener === Condition evaluation unchanged
2020-07-26 18:35:42.779 === [Thread-16] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-26 18:35:42.954 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Starting BlogApplication on DESKTOP-CNOGRH7 with PID 1008 (E:\Idea_WorkSpace\aimerrhythms_blog\blog\target\classes started by aimerrhythm in E:\Idea_WorkSpace\aimerrhythms_blog)
2020-07-26 18:35:42.954 === [restartedMain] === DEBUG === com.aimerrhythms.blog.BlogApplication === Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
2020-07-26 18:35:42.954 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === No active profile set, falling back to default profiles: default
2020-07-26 18:35:43.164 === [restartedMain] === WARN  === org.mybatis.spring.mapper.ClassPathMapperScanner === No MyBatis mapper was found in '[com.aimerrhythms.blog]' package. Please check your configuration.
2020-07-26 18:35:43.235 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat initialized with port(s): 80 (http)
2020-07-26 18:35:43.236 === [restartedMain] === INFO  === org.apache.catalina.core.StandardService === Starting service [Tomcat]
2020-07-26 18:35:43.236 === [restartedMain] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-07-26 18:35:43.262 === [restartedMain] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring embedded WebApplicationContext
2020-07-26 18:35:43.262 === [restartedMain] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext === Root WebApplicationContext: initialization completed in 305 ms
2020-07-26 18:35:43.319 === [restartedMain] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Initializing ExecutorService 'applicationTaskExecutor'
2020-07-26 18:35:43.338 === [restartedMain] === INFO  === o.s.b.a.web.servlet.WelcomePageHandlerMapping === Adding welcome page template: index
2020-07-26 18:35:43.480 === [restartedMain] === INFO  === o.s.b.d.autoconfigure.OptionalLiveReloadServer === LiveReload server is running on port 35729
2020-07-26 18:35:43.495 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat started on port(s): 80 (http) with context path ''
2020-07-26 18:35:43.499 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Started BlogApplication in 0.577 seconds (JVM running for 203.572)
2020-07-26 18:35:43.501 === [restartedMain] === INFO  === o.s.b.d.a.ConditionEvaluationDeltaLoggingListener === Condition evaluation unchanged
2020-07-26 18:36:45.158 === [Thread-21] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Shutting down ExecutorService 'applicationTaskExecutor'
